node_id	node_namespace	node_label	node_definition	node_synonyms	node_dbxrefs
 HuBMAP C000079	HubMAP	salmon_rnaseq_bulk	Bulk RNA-seq [Salmon]		
 HuBMAP C000080	HubMAP	RNA_analysis	Molecular biology procedures, including Northern Blot, Differential display, RT-PCR, and RNase protection for qualifying or quantifying RNA. 		
 HuBMAP C000081	HubMAP	SNARE-seq	nan		
 HuBMAP C000082	HubMAP	scRNA-seq	single-cell RNA sequencing assay		
 HuBMAP C000083	HubMAP	snRNA-seq	single nucleus RNA sequencing		
 HuBMAP C000084	HubMAP	snATAC-seq	single-nucleus ATAC-seq		
 HuBMAP C000085	HubMAP	scATAC-seq	single-cell ATAC-seq		
 HuBMAP C000086	HubMAP	SNARE-ATACseq2	snATACseq (SNARE-seq2)		
 HuBMAP C000087	HubMAP	SNARE-RNAseq2	snRNAseq (SNARE-seq2)		
 HuBMAP C000088	HubMAP	sc_atac_seq_snare_lab	snATAC-seq (SNARE-seq2) [Lab Processed]		
 HuBMAP C000089	HubMAP	sc_rna_seq_snare_lab	snATAC-seq (SNARE-seq2) [Lab Processed]		
 HuBMAP C000090	HubMAP	is_sc	Vitesse hint		
 HuBMAP C000091	HubMAP	rna	Vitesse hint		
 HuBMAP C000092	HubMAP	atac	Vitesse hint		
 HuBMAP C000093	HubMAP	salmon_rnaseq_snareseq	snRNA-seq (SNARE-seq2) [Salmon]		
 HuBMAP C000094	HubMAP	sc_atac_seq_snare	snATAC-seq (SNARE-seq2) [SnapATAC]		
 HuBMAP C000095	HubMAP	10x_genomics	nan		
 HuBMAP C000096	HubMAP	10x_genomics_v2	nan		
 HuBMAP C000097	HubMAP	10x_genomics_v3	nan		
 HuBMAP C000098	HubMAP	scRNAseq-10xGenomics-v2	scRNA-seq (10x Genomics v2)		
 HuBMAP C000099	HubMAP	scRNAseq-10xGenomics-v3	scRNA-seq (10x Genomics v3)		
 HuBMAP C000100	HubMAP	salmon_rnaseq_10x	scRNA-seq (10x Genomics) [Salmon]		
 HuBMAP C000101	HubMAP	SCI-seq	
Single-cell combinatorial indexed sequencing		
 HuBMAP C000102	HubMAP	sciATACseq 	sciATAC-seq		
 HuBMAP C000103	HubMAP	sc_atac_seq_sci 	sciATAC-seq [SnapATAC]		
 HuBMAP C000104	HubMAP	sciRNAseq 	sciRNA-seq		
 HuBMAP C000105	HubMAP	salmon_rnaseq_sciseq	sciRNA-seq [Salmon]		
 HuBMAP C000106	HubMAP	seqFish	seqFISH 		
 HuBMAP C000107	HubMAP	seqFish_pyramid	seqFISH [Image Pyramid]		
 HuBMAP C000108	HubMAP	seqFish_lab_processed 	seqFISH [Lab Processed]		
 HuBMAP C000109	HubMAP	snATACseq	snATAC-seq		
 HuBMAP C000110	HubMAP	sn_atac_seq	snATAC-seq [SnapATAC]		
 HuBMAP C000111	HubMAP	snRNAseq-10xGenomics-v2	snRNA-seq (10x Genomics v2)		
 HuBMAP C000112	HubMAP	snRNAseq-10xGenomics-v3	snRNA-seq (10x Genomics v3)		
 HuBMAP C000113	HubMAP	salmon_sn_rnaseq_10x	snRNA-seq [Salmon]		
 HuBMAP C000114	HubMAP	Slide-seq	Slide-seq		
 HuBMAP C000115	HubMAP	salmon_rnaseq_slideseq 	Slide-seq [Salmon]		
 HuBMAP C000116	HubMAP	TMT	tandem mass tag		
 HuBMAP C000117	HubMAP	HPLC/MS/MS	High-performance Liquid Chromatography/Tandem Mass Spectrometry		
 HuBMAP C000118	HubMAP	flow_injection_analysis	flow injection analysis		
 HuBMAP C000119	HubMAP	Targeted-Shotgun-LC-MS	Targeted Shotgun / Flow-injection LC-MS		
 HuBMAP C000120	HubMAP	TMT-LC-MS	TMT LC-MS		
 HuBMAP C000121	HubMAP	WGS	Whole Genome Sequencing		
 HuBMAP C000122	HubMAP	LC-MS	LC-MS		
 HuBMAP C000123	HubMAP	MS 	MS 		
 HuBMAP C000124	HubMAP	bottom_up	Proteolytic Processing		
 HuBMAP C000125	HubMAP	top_down	protein separation apparatus		
 HuBMAP C000126	HubMAP	LC-MS_bottom_up	LC-MS Bottom Up		
 HuBMAP C000127	HubMAP	MS_bottom_up	MS Bottom Up		
 HuBMAP C000128	HubMAP	LC-MS_top_down	LC-MS Top Down		
 HuBMAP C000129	HubMAP	MS_top_down 	MS Top Down		
 HuBMAP C000130	HubMAP	liquid_chromatography	liquid chromatography		
 HuBMAP C000131	HubMAP	sample	sample		
 HuBMAP C000132	HubMAP	atacseq 	ATACseq		
 HuBMAP C000133	HubMAP	biopsy 	Biopsy 		
 HuBMAP C000134	HubMAP	blood 	nan		
 HuBMAP C000135	HubMAP	cell_lysate	nan		
 HuBMAP C000136	HubMAP	clarity_hydrogel 	nan		
 HuBMAP C000137	HubMAP	medium	nan		
 HuBMAP C000138	HubMAP	OCT	Optimal Cutting Temperature Compound		
 HuBMAP C000139	HubMAP	cryosections_curls_from_fresh_frozen_oct	Cryosections/curls from fresh frozen OCT		
 HuBMAP C000140	HubMAP	RNAlater	Trade name for an aqueous, non-toxic tissue storage reagent that rapidly permeates tissues to stabilize and protect cellular RNA.		
 HuBMAP C000141	HubMAP	cryosections_curls_rnalater	Cryosections/curls RNAlater		
 HuBMAP C000142	HubMAP	fixative	nan		
 HuBMAP C000143	HubMAP	formalin	nan		
 HuBMAP C000144	HubMAP	PFA	nan		
 HuBMAP C000145	HubMAP	FFPE	formalin-fixed polyethlylene		
 HuBMAP C000146	HubMAP	form	nan		
 HuBMAP C000147	HubMAP	block	nan		
 HuBMAP C000148	HubMAP	slide	nan		
 HuBMAP C000149	HubMAP	piece	nan		
 HuBMAP C000150	HubMAP	section	nan		
 HuBMAP C000151	HubMAP	freezing_method	nan		
 HuBMAP C000152	HubMAP	fresh_frozen	nan		
 HuBMAP C000153	HubMAP	flash_frozen	nan		
 HuBMAP C000154	HubMAP	unfrozen	nan		
 HuBMAP C000155	HubMAP	frozen	nan		
 HuBMAP C000156	HubMAP	ffpe_block 	FFPE block		
 HuBMAP C000157	HubMAP	ffpe_slide 	FFPE slide		
 HuBMAP C000158	HubMAP	fixed_frozen_section_slide 	Fixed frozen section slide		
 HuBMAP C000159	HubMAP	fixed_tissue_piece 	Fixed tissue piece		
 HuBMAP C000160	HubMAP	flash_frozen_liquid_nitrogen	Flash frozen, liquid nitrogen		
 HuBMAP C000161	HubMAP	formalin_fixed_oct_block 	Formalin fixed OCT block		
 HuBMAP C000162	HubMAP	fresh_frozen_oct_block 	Fresh frozen OCT block		
 HuBMAP C000163	HubMAP	fresh_frozen_section_slide 	Fresh frozen section slide		
 HuBMAP C000164	HubMAP	fresh_frozen_tissue 	Fresh frozen tissue		
 HuBMAP C000165	HubMAP	fresh_frozen_tissue_section 	Fresh frozen tissue section		
 HuBMAP C000166	HubMAP	fresh_tissue 	Fresh tissue		
 HuBMAP C000167	HubMAP	cell_pellet	cell pellet		
 HuBMAP C000168	HubMAP	frozen_cell_pellet_buffy_coat	Frozen cell pellet (Buffy coat)		
 HuBMAP C000169	HubMAP	gDNA	gDNA 		
 HuBMAP C000170	HubMAP	module 	Module 		
 HuBMAP C000171	HubMAP	nuclei	Nuclei 		
 HuBMAP C000172	HubMAP	nuclei_rnalater 	Nuclei RNAlater		
 HuBMAP C000173	HubMAP	organ	Organ		
 HuBMAP C000174	HubMAP	organ_piece 	Organ piece		
 HuBMAP C000175	HubMAP	other	Other 		
 HuBMAP C000176	HubMAP	pbmc	PBMC		
 HuBMAP C000177	HubMAP	pfa_fixed_frozen_oct_block 	PFA fixed frozen OCT block		
 HuBMAP C000178	HubMAP	plasma 	Plasma		
 HuBMAP C000179	HubMAP	protein	Protein		
 HuBMAP C000180	HubMAP	ran_poly_a_enriched 	RNA, poly-A enriched		
 HuBMAP C000181	HubMAP	rna_total 	RNA, total		
 HuBMAP C000182	HubMAP	rnalater_treated_and_stored 	RNAlater treated and stored		
 HuBMAP C000183	HubMAP	rnaseq	RNAseq		
 HuBMAP C000184	HubMAP	scatacseq 	scATACseq		
 HuBMAP C000185	HubMAP	scrnaseq 	scRNAseq 		
 HuBMAP C000186	HubMAP	segment 	Segment 		
 HuBMAP C000187	HubMAP	seqfish 	seqFISH		
 HuBMAP C000188	HubMAP	sequence_library	Sequence library		
 HuBMAP C000189	HubMAP	serum 	Serum		
 HuBMAP C000190	HubMAP	single_cell_cryopreserved 	Single cell cryopreserved		
 HuBMAP C000191	HubMAP	snatacseq 	snATACseq 		
 HuBMAP C000192	HubMAP	snrnaseq 	snRNAseq 		
 HuBMAP C000193	HubMAP	tissue_lysate 	Tissue lysate		
 HuBMAP C000194	HubMAP	AO 	Aorta 		
 HuBMAP C000195	HubMAP	BL 	Bladder 		
 HuBMAP C000196	HubMAP	BD 	Blood 		
 HuBMAP C000197	HubMAP	BM	Bone Marrow		
 HuBMAP C000198	HubMAP	BR 	Brain		
 HuBMAP C000199	HubMAP	LF 	Fallopian Tube (Left)		
 HuBMAP C000200	HubMAP	RF 	Fallopian Tube (Right)		
 HuBMAP C000201	HubMAP	HT 	Heart 		
 HuBMAP C000202	HubMAP	LB 	Bronchus (Left)		
 HuBMAP C000203	HubMAP	LE 	Eye (Left)		
 HuBMAP C000204	HubMAP	LI 	Large Intestine		
 HuBMAP C000205	HubMAP	LK 	Kidney (Left)		
 HuBMAP C000206	HubMAP	LL 	Lung (Left)		
 HuBMAP C000207	HubMAP	LN 	Knee (Left)		
 HuBMAP C000208	HubMAP	LV 	Liver 		
 HuBMAP C000209	HubMAP	LY 	Lymph Node		
 HuBMAP C000210	HubMAP	LO 	Ovary (Left)		
 HuBMAP C000211	HubMAP	RO 	Ovary (Right)		
 HuBMAP C000212	HubMAP	OT 	Other 		
 HuBMAP C000213	HubMAP	PA	Pancreas		
 HuBMAP C000214	HubMAP	PL 	Placenta 		
 HuBMAP C000215	HubMAP	RB	Bronchus (Right)		
 HuBMAP C000216	HubMAP	RE	Eye (Right)		
 HuBMAP C000217	HubMAP	RK	Kidney (Right)		
 HuBMAP C000218	HubMAP	RL	Lung (Right)		
 HuBMAP C000219	HubMAP	RN 	Knee (Right)		
 HuBMAP C000220	HubMAP	SI	Small Intestine		
 HuBMAP C000221	HubMAP	SK	Skin 		
 HuBMAP C000222	HubMAP	SP 	Spleen		
 HuBMAP C000223	HubMAP	ST 	Sternum 		
 HuBMAP C000224	HubMAP	TH	Thymus		
 HuBMAP C000225	HubMAP	TR	Trachea 		
 HuBMAP C000226	HubMAP	UR	Ureter 		
 HuBMAP C000227	HubMAP	UT	Uterus		
 HuBMAP C000228	HubMAP	analyte	analyte		
 HuBMAP C000229	HubMAP	lipid	lipid		
 HuBMAP C000230	HubMAP	metabolite	metabolite		
 HuBMAP C000231	HubMAP	peptide	peptide		
 HuBMAP C000232	HubMAP	nucleic_acid_sequencing	nucleic acid sequencing		
 HuBMAP C000233	HubMAP	DeepCell	DeepCell		
