relation_id	relation_label	inverse_relation_label
http://purl.obolibrary.org/obo/BSPO_0000123	in_anterior_side_of	inverse in_anterior_side_of
http://purl.obolibrary.org/obo/RO_0002225	develops from part of	inverse develops from part of
http://purl.obolibrary.org/obo/RO_0002433	contributes to morphology of	inverse contributes to morphology of
http://purl.obolibrary.org/obo/RO_0001000	derives from	inverse derives from
http://purl.obolibrary.org/obo/BFO_0000066	occurs in	inverse occurs in
http://purl.obolibrary.org/obo/RO_0002493	existence ends with	inverse existence ends with
http://purl.obolibrary.org/obo/RO_0002201	phenotype of	has phenotype
http://purl.obolibrary.org/obo/RO_0000052	inheres in	bearer of
http://purl.obolibrary.org/obo/BSPO_0000124	in_proximal_side_of	inverse in_proximal_side_of
http://purl.obolibrary.org/obo/RO_0002203	develops into	develops from
http://purl.obolibrary.org/obo/RO_0002205	has gene product	gene product of
http://purl.obolibrary.org/obo/RO_0002104	has plasma membrane part	inverse has plasma membrane part
http://purl.obolibrary.org/obo/RO_0002220	adjacent to	inverse adjacent to
http://purl.obolibrary.org/obo/RO_0002322	confers advantage in	inverse confers advantage in
http://purl.obolibrary.org/obo/uberon/core#layer_part_of	layer part of	inverse layer part of
http://purl.obolibrary.org/obo/RO_0002224	starts with	starts
http://purl.obolibrary.org/obo/BSPO_0001101	in_deep_part_of	inverse in_deep_part_of
http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to	anteriorly connected to	inverse anteriorly connected to
http://purl.obolibrary.org/obo/RO_0002331	involved in	inverse involved in
http://purl.obolibrary.org/obo/RO_0002292	expresses	inverse expresses
http://purl.obolibrary.org/obo/BSPO_0000107	deep_to	inverse deep_to
http://purl.obolibrary.org/obo/RO_0002573	has modifier	inverse has modifier
http://purl.obolibrary.org/obo/RO_0002503	towards	inverse towards
http://purl.obolibrary.org/obo/RO_0002178	supplies	inverse supplies
http://purl.obolibrary.org/obo/uberon/core#filtered_through	filtered through	inverse filtered through
http://purl.obolibrary.org/obo/BFO_0000056	participates_in	inverse participates_in
http://purl.obolibrary.org/obo/RO_0002373	has muscle insertion	inverse has muscle insertion
http://purl.obolibrary.org/obo/core#innervated_by	innervated_by	inverse innervated_by
http://purl.obolibrary.org/obo/pr#has_gene_template	has_gene_template	inverse has_gene_template
http://purl.obolibrary.org/obo/RO_0002215	capable of	inverse capable of
http://purl.obolibrary.org/obo/uberon/core#channels_from	channels_from	inverse channels_from
http://purl.obolibrary.org/obo/cl#has_not_completed	has_not_completed	inverse has_not_completed
http://purl.obolibrary.org/obo/RO_0001025	located in	location of
http://purl.obolibrary.org/obo/RO_0002473	composed primarily of	inverse composed primarily of
http://purl.obolibrary.org/obo/RO_0002170	connected to	inverse connected to
http://purl.obolibrary.org/obo/BSPO_0000125	in_distal_side_of	inverse in_distal_side_of
http://purl.obolibrary.org/obo/core#subdivision_of	subdivision_of	inverse subdivision_of
http://purl.obolibrary.org/obo/RO_0002176	connects	inverse connects
http://purl.obolibrary.org/obo/RO_0002005	innervated_by	innervates
http://purl.obolibrary.org/obo/RO_0002179	drains	inverse drains
http://purl.obolibrary.org/obo/BSPO_0000120	in_left_side_of	inverse in_left_side_of
http://purl.obolibrary.org/obo/RO_0002159	serially homologous to	inverse serially homologous to
http://purl.obolibrary.org/obo/RO_0000053	bearer of	inheres in
http://purl.obolibrary.org/obo/BSPO_0001106	proximalmost_part_of	inverse proximalmost_part_of
http://purl.obolibrary.org/obo/RO_0002376	tributary of	inverse tributary of
http://purl.obolibrary.org/obo/BSPO_0015012	immediately_posterior_to	inverse immediately_posterior_to
http://purl.obolibrary.org/obo/RO_0002385	has potential to developmentally contribute to	inverse has potential to developmentally contribute to
http://purl.obolibrary.org/obo/uberon/core#channels_into	channels_into	inverse channels_into
http://purl.obolibrary.org/obo/BSPO_0000098	dorsal_to	inverse dorsal_to
http://purl.obolibrary.org/obo/uberon/core#in_central_side_of	in_central_side_of	inverse in_central_side_of
http://purl.obolibrary.org/obo/RO_0002082	simultaneous with	inverse simultaneous with
http://purl.obolibrary.org/obo/uberon/core#posteriorly_connected_to	posteriorly connected to	inverse posteriorly connected to
http://purl.obolibrary.org/obo/cl#has_low_plasma_membrane_amount	has_low_plasma_membrane_amount	inverse has_low_plasma_membrane_amount
http://purl.obolibrary.org/obo/RO_0002219	surrounded by	surrounds
http://purl.obolibrary.org/obo/RO_0002230	ends with	ends
http://purl.obolibrary.org/obo/CLO_0054408	overexpresses gene	inverse overexpresses gene
http://purl.obolibrary.org/obo/cl#has_completed	has_completed	inverse has_completed
http://www.ebi.ac.uk/efo/EFO_0000784	has_disease_location	inverse has_disease_location
http://purl.obolibrary.org/obo/CLO_0037208	derived from anatomic part	inverse derived from anatomic part
http://purl.obolibrary.org/obo/uberon/core#extends_fibers_into	extends_fibers_into	inverse extends_fibers_into
http://purl.obolibrary.org/obo/BSPO_0015009	immediately_anterior_to	inverse immediately_anterior_to
http://purl.obolibrary.org/obo/RO_0002568	has muscle antagonist	inverse has muscle antagonist
http://purl.obolibrary.org/obo/RO_0002576	skeleton of	has skeleton
http://purl.obolibrary.org/obo/BFO_0000050	part of	inverse part of
http://purl.obolibrary.org/obo/RO_0002496	existence starts during or after	inverse existence starts during or after
http://purl.obolibrary.org/obo/CLO_0037209	derived from cell	inverse derived from cell
http://purl.obolibrary.org/obo/doid#has_symptom	has_symptom	inverse has_symptom
http://purl.obolibrary.org/obo/BFO_0000082	located_in	inverse located_in
http://purl.obolibrary.org/obo/RO_0000087	has role	role of
http://purl.obolibrary.org/obo/RO_0002120	synapsed to	inverse synapsed to
http://purl.obolibrary.org/obo/BSPO_0000102	ventral_to	inverse ventral_to
http://purl.obolibrary.org/obo/uberon/core#trunk_part_of	trunk_part_of	inverse trunk_part_of
http://purl.obolibrary.org/obo/RO_0001019	contains	inverse contains
http://purl.obolibrary.org/obo/RO_0002606	is substance that treats	is treated by substance
http://purl.obolibrary.org/obo/uberon/insect-anatomy#composed_primarily_of	composed_primarily_of	inverse composed_primarily_of
http://purl.obolibrary.org/obo/core#connected_to	connected_to	inverse connected_to
http://purl.obolibrary.org/obo/BSPO_0001100	in_superficial_part_of	inverse in_superficial_part_of
http://purl.obolibrary.org/obo/BFO_0000062	preceded_by	inverse preceded_by
http://purl.obolibrary.org/obo/RO_0002229	ends	ends with
http://purl.obolibrary.org/obo/uberon/core#existence_starts_and_ends_during	existence starts and ends during	inverse existence starts and ends during
http://purl.obolibrary.org/obo/RO_0002200	has phenotype	phenotype of
http://purl.obolibrary.org/obo/BSPO_0000126	in_lateral_side_of	inverse in_lateral_side_of
http://purl.obolibrary.org/obo/RO_0002285	developmentally replaces	inverse developmentally replaces
http://purl.obolibrary.org/obo/BSPO_0000122	in_posterior_side_of	inverse in_posterior_side_of
http://purl.obolibrary.org/obo/RO_0002436	molecularly interacts with	inverse molecularly interacts with
http://purl.obolibrary.org/obo/BSPO_0000121	in_right_side_of	inverse in_right_side_of
http://purl.obolibrary.org/obo/RO_0002256	developmentally induced by	inverse developmentally induced by
http://purl.obolibrary.org/obo/RO_0002571	lumen of	inverse lumen of
http://purl.obolibrary.org/obo/RO_0002380	branching part of	inverse branching part of
http://purl.obolibrary.org/obo/BFO_0000051	has_part	inverse has_part
http://purl.obolibrary.org/obo/RO_0000056	participates in	has participant
http://purl.obolibrary.org/obo/RO_0002495	immediate transformation of	inverse immediate transformation of
http://purl.obolibrary.org/obo/cl#has_high_plasma_membrane_amount	has_high_plasma_membrane_amount	inverse has_high_plasma_membrane_amount
http://purl.obolibrary.org/obo/RO_0002434	interacts with	inverse interacts with
http://purl.obolibrary.org/obo/BSPO_0000096	anterior_to	inverse anterior_to
http://purl.obolibrary.org/obo/RO_0002160	only in taxon	inverse only in taxon
http://purl.obolibrary.org/obo/IDO_0000664	has material basis in	inverse has material basis in
http://purl.obolibrary.org/obo/uberon/core#in_outermost_side_of	in_outermost_side_of	inverse in_outermost_side_of
http://purl.obolibrary.org/obo/CLO_0000179	is disease model for	inverse is disease model for
http://purl.obolibrary.org/obo/uberon/core#protects	protects	inverse protects
http://purl.obolibrary.org/obo/uberon/core#synapsed_by	synapsed by	inverse synapsed by
http://purl.obolibrary.org/obo/BSPO_0000097	distal_to	inverse distal_to
http://purl.obolibrary.org/obo/RO_0002353	output of	inverse output of
http://purl.obolibrary.org/obo/BSPO_0015014	immediately_superficial_to	inverse immediately_superficial_to
http://purl.obolibrary.org/obo/BFO_0000063	precedes	inverse precedes
http://purl.obolibrary.org/obo/RO_0002216	capable of part of	inverse capable of part of
http://purl.obolibrary.org/obo/RO_0002489	existence starts with	inverse existence starts with
http://purl.obolibrary.org/obo/BSPO_0001107	immediately_deep_to	inverse immediately_deep_to
http://purl.obolibrary.org/obo/RO_0002134	innervates	innervated_by
http://purl.obolibrary.org/obo/RO_0002374	derived from ancestral fusion of	inverse derived from ancestral fusion of
