node_id	node_namespace	node_label	node_definition	node_synonyms	node_dbxrefs
 HuBMAP C000031	HubMAP	PII	personally identifiable information		
 HuBMAP C000032	HubMAP	Biospecimen	material sample taken from a biological entity		
 HuBMAP C000033	HubMAP	Single_Cell	single cell specimen		
 HuBMAP C000034	HubMAP	Bulk_Specimen	bulk specimen		
 HuBMAP C000035	HubMAP	Spatial	Spatial/3D		
 HuBMAP C000036	HubMAP	Algorithm	
A plan that describes the inputs and output of mathematical functions as well as workflow of execution for achieving an predefined objective. Although many processes can be described with Algorithms, in the context of HuBMAP, an Algorithm is limited to analytical techniques used during the generation of primary assays--e.g.,sequence-calling.		
 HuBMAP C000037	HubMAP	Burrows-Wheeler_Aligner_Algorithm	An Algorithm which performs mapping of low-divergent sequences against a large reference genome, such as the human genome.		
 HuBMAP C000038	HubMAP	Pipeline	software-based analysis pipeline to generate derived assays from primary assays		
 HuBMAP C000039	HubMAP	MACS2	Model-based Analysis of ChIP-seq		
 HuBMAP C000040	HubMAP	Directory_Schema_URL	nan		
 HuBMAP C000041	HubMAP	Table_Schema_URL	nan		
 HuBMAP C000042	HubMAP	Description_URL	nan		
 HuBMAP C000043	HubMAP	https://github.com/hubmapconsortium/sprm/blob/master/pipeline-manifest.json	directory schema for SPRM		
 HuBMAP C000044	HubMAP	https://github.com/hubmapconsortium/sprm	nan		
 HuBMAP C000045	HubMAP	https://github.com/hammerlab/cytokit	description for cytokit		
 HuBMAP C000046	HubMAP	https://combine-lab.github.io/salmon/	description for SALMON		
 HuBMAP C000047	HubMAP	https://www.microsoft.com/en-us/research/project/snap/	description for SNAP		
 HuBMAP C000048	HubMAP	https://deepcell.com/	description for DeepCell		
 HuBMAP C000049	HubMAP	SPRM	Spatial Process Relationship Mapping		
 HuBMAP C000050	HubMAP	Cytokit	A single-cell analysis toolkit for high dimensional fluorescent microscopy imaging		
 HuBMAP C000051	HubMAP	Salmon	Salmon transcript quantification		
 HuBMAP C000052	HubMAP	SNAP	SNAP		
 HuBMAP C000053	HubMAP	DeepCell	DeepCell		
 HuBMAP C000054	HubMAP	Microscopy	nan		
 HuBMAP C000055	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/af-v0.yaml	nan		
 HuBMAP C000056	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/af-v1.yaml	nan		
 HuBMAP C000057	HubMAP	https://software.docs.hubmapconsortium.org/assays/af	nan		
 HuBMAP C000058	HubMAP	AF	Autofluorescence Microscopy		
 HuBMAP C000059	HubMAP	AF_pyramid	Autofluorescence Microscopy [Image Pyramid]		
 HuBMAP C000060	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/codex-v1-with-dataset-json.yaml	directory schema for CODEX		
 HuBMAP C000061	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/codex-v1.yaml	table schema for CODEX		
 HuBMAP C000062	HubMAP	https://software.docs.hubmapconsortium.org/assays/codex	description for CODEX		
 HuBMAP C000063	HubMAP	CODEX	co-detection by indexing assay		
 HuBMAP C000064	HubMAP	CODEX2	CODEX (CODEX2 assay type)		
 HuBMAP C000065	HubMAP	codex_cytokit_v1	CODEX [Cytokit + SPRM]		
 HuBMAP C000066	HubMAP	codex_cytokit	CODEX [Cytokit + SPRM]		
 HuBMAP C000067	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/celldive-v0.yaml	directory schema for cell-dive		
 HuBMAP C000068	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/celldive-v1.yaml	table schema for cell-dive		
 HuBMAP C000069	HubMAP	https://www.leica-microsystems.com/products/light-microscopes/p/cell-dive/	description for cell-dive		
 HuBMAP C000070	HubMAP	cell-dive	A multiplexed fluorescent antibody imaging assay that involves an iterative staining, imaging and dye inactivation workflow for over 60 biomarkers on a single fixed tissue section.		
 HuBMAP C000071	HubMAP	celldive_deepcell	CellDIVE [DeepCell + SPRM]		
 HuBMAP C000072	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/bulkatacseq-v0.yaml	directory schema for bulk ATAC-seq		
 HuBMAP C000073	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/bulkatacseq-v1.yaml	table schema for bulk ATAC-seq		
 HuBMAP C000074	HubMAP	https://software.docs.hubmapconsortium.org/assays/atacseq	description for ATAC-seq		
 HuBMAP C000075	HubMAP	ATACseq	Assay for Transposase Accessible Chromatin with High-Throughput Sequencing		
 HuBMAP C000076	HubMAP	ATACseq-bulk	Bulk ATAC-seq		
 HuBMAP C000077	HubMAP	bulk_atacseq 	ATACseq-bulk_BWA_MACS2		
 HuBMAP C000078	HubMAP	Confocal_Microscopy	Confocal Microscopy		
 HuBMAP C000079	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/lightsheet-v0.yaml	directory schema for lightsheet		
 HuBMAP C000080	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/lightsheet-v2.yaml	table schema for lightsheet		
 HuBMAP C000081	HubMAP	https://software.docs.hubmapconsortium.org/assays/lightsheet	Description for lightsheet		
 HuBMAP C000082	HubMAP	Lightsheet	Lightsheet Microscopy		
 HuBMAP C000083	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/mxif-v0.yaml	Directory schema for MXIF		
 HuBMAP C000084	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/mxif-v1.yaml	Table schema for MXIF		
 HuBMAP C000085	HubMAP	https://software.docs.hubmapconsortium.org/assays/mxif	Description for MXIF		
 HuBMAP C000086	HubMAP	MxIF	Multiplexed IF Microscopy		
 HuBMAP C000087	HubMAP	MxIF_pyramid	Multiplexed IF Microscopy [Image Pyramid]		
 HuBMAP C000088	HubMAP	tissue_stain	nan		
 HuBMAP C000089	HubMAP	Periodic_acid_Schiff_stain	nan		
 HuBMAP C000090	HubMAP	Hematoxylin_Eosin_Stain	Hematoxylin and eosin stain method		
 HuBMAP C000091	HubMAP	IHC_Stain	Immunohistochemistry slide staining		
 HuBMAP C000092	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/stained-v1.yaml	Directory schema for PAS		
 HuBMAP C000093	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/stained-v0.yaml	Table schema for stained microscopy		
 HuBMAP C000094	HubMAP	https://software.docs.hubmapconsortium.org/assays/pas	Description for stained microscopy		
 HuBMAP C000095	HubMAP	PAS	PAS Stained Microscopy		
 HuBMAP C000096	HubMAP	PAS_pyramid 	PAS Stained Microscopy [Image Pyramid]		
 HuBMAP C000097	HubMAP	H&E (Histology)	nan		
 HuBMAP C000098	HubMAP	IHC	nan		
 HuBMAP C000099	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/tree/main/src/ingest_validation_tools/directory-schemas	Directory schema or seqFish		
 HuBMAP C000100	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/seqfish-v1.yaml	Table schema for seqFish		
 HuBMAP C000101	HubMAP	https://software.docs.hubmapconsortium.org/assays/seqfish	Description for seqFish		
 HuBMAP C000102	HubMAP	seqFish	seqFISH 		
 HuBMAP C000103	HubMAP	seqFish_pyramid	seqFISH [Image Pyramid]		
 HuBMAP C000104	HubMAP	seqFish_lab_processed 	seqFISH [Lab Processed]		
 HuBMAP C000105	HubMAP	https://github.com/spacetx/starfish/blob/master/notebooks/DARTFISH.ipynb	Description for DART-Fish		
 HuBMAP C000106	HubMAP	DART-FISH	TMT-LC-MS		
 HuBMAP C000107	HubMAP	https://vizgen.com/technology/	Description for MERFISH		
 HuBMAP C000108	HubMAP	MERFISH	Multiplexed Error Robust Fluorescence In Situ Hybridization		
 HuBMAP C000109	HubMAP	http://saber.fish/	Description for SABERFISH		
 HuBMAP C000110	HubMAP	SABERFISH	Signal Amplification for Multiplexed Fluorescence In Situ Hybridization		
 HuBMAP C000111	HubMAP	Computed_Tomography	nan		
 HuBMAP C000112	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/microct-v1.yaml	Table schema for micro CT		
 HuBMAP C000113	HubMAP	https://en.wikipedia.org/wiki/X-ray_microtomography	Description for microCT		
 HuBMAP C000114	HubMAP	Micro_CT	Micro-CT/Nano-CT		
 HuBMAP C000115	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/mri-v1.yaml	Table schema for MRI		
 HuBMAP C000116	HubMAP	https://en.wikipedia.org/wiki/Magnetic_resonance_imaging	Description for MRI		
 HuBMAP C000117	HubMAP	MRI	Magnetic Resonance Imaging		
 HuBMAP C000118	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/oct-v1.yaml	Table schema for OCT		
 HuBMAP C000119	HubMAP	https://en.wikipedia.org/wiki/Optical_coherence_tomography	Description of OCT		
 HuBMAP C000120	HubMAP	OCT imaging	Optical Coherence Tomography		
 HuBMAP C000121	HubMAP	image_pyramid 	nan		
 HuBMAP C000122	HubMAP	MS 	MS 		
 HuBMAP C000123	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/imc-v0.yaml	Directory schema for IMC		
 HuBMAP C000124	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/imc-v1.yaml	Table schema for IMC		
 HuBMAP C000125	HubMAP	https://software.docs.hubmapconsortium.org/assays/imc	Description for IMC		
 HuBMAP C000126	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/imc3d-v0.yaml	Directory schema for IMC3D		
 HuBMAP C000127	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/imc3d-v1.yaml	Table schema for IMC3D		
 HuBMAP C000128	HubMAP	IMC	imaging mass cytometry assay		
 HuBMAP C000129	HubMAP	IMC2D	Imaging Mass Cytometry (2D)		
 HuBMAP C000130	HubMAP	IMC3D	Imaging Mass Cytometry (3D)		
 HuBMAP C000131	HubMAP	IMC2D_pyramid 	Imaging Mass Cytometry (2D) [Image Pyramid]		
 HuBMAP C000132	HubMAP	IMC3D_pyramid 	Imaging Mass Cytometry (3D) [Image Pyramid]		
 HuBMAP C000133	HubMAP	maldi	Matrix-Assisted Laser Desorption Ionization Mass Spectrometry		
 HuBMAP C000134	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/ims-v2.yaml	Directory schema for IMS		
 HuBMAP C000135	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/ims-v0.yaml	Table schema for IMS		
 HuBMAP C000136	HubMAP	https://software.docs.hubmapconsortium.org/assays/maldi-ims	Description for MALDI		
 HuBMAP C000137	HubMAP	MALDI-IMS	MALDI IMS		
 HuBMAP C000138	HubMAP	MALDI-IMS_pyramid	MALDI IMS [Image Pyramid]		
 HuBMAP C000139	HubMAP	SIMS-IMS	Secondary Ion Mass Spectrometry - Imaging Mass Spectrometry		
 HuBMAP C000140	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/nano-v0.yaml	Directory schema for NanoDESI		
 HuBMAP C000141	HubMAP	https://www.pnnl.gov/science/highlights/highlight.asp?id=1233	Description for NanoDESI		
 HuBMAP C000142	HubMAP	NanoDESI	NanoDESI 		
 HuBMAP C000143	HubMAP	NanoDESI_pyramid	NanoDESI [Image Pyramid]		
 HuBMAP C000144	HubMAP	https://www.emsl.pnnl.gov/science/related-instrument/nanodroplet-processing-in-one-pot-for-trace-samples--nanopots-/1806	Description for NanoDESI		
 HuBMAP C000145	HubMAP	NanoPOTS	NanoPOTS 		
 HuBMAP C000146	HubMAP	NanoPOTS_pyramid	NanoPOTS [Image Pyramid]		
 HuBMAP C000147	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/mibi-v0.yaml	Directory schema for MIBI		
 HuBMAP C000148	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/mibi-v1.yaml	Table schema for MIBI		
 HuBMAP C000149	HubMAP	https://en.wikipedia.org/wiki/Mass_spectrometry_imaging	Description for MIBI		
 HuBMAP C000150	HubMAP	MIBI	Multiplex Ion Beam Imaging		
 HuBMAP C000151	HubMAP	mibi_deepcell	Multiplex Ion Beam Imaging [DeepCell + SPRM]		
 HuBMAP C000152	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/lcms-v0.yaml	Directory schema for LC-MS, MS, LC-MS Bottom-Up, MS Bottom-Up, LC-MS Top-Down, or MS Top-Down		
 HuBMAP C000153	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/lcms-v3.yaml	Table schema for LCMS		
 HuBMAP C000154	HubMAP	https://software.docs.hubmapconsortium.org/assays/lcms	Description for LCMS		
 HuBMAP C000155	HubMAP	LC-MS	Liquid Chromatography Mass Spectrometry 		
 HuBMAP C000156	HubMAP	LC-MS/MS	Liquid Chromatography/Tandem Mass Spectrometry		
 HuBMAP C000157	HubMAP	TMT	tandem mass tag		
 HuBMAP C000158	HubMAP	Untargeted	untargeted (metabolomics)		
 HuBMAP C000159	HubMAP	Flow_Injection_Analysis	flow injection analysis		
 HuBMAP C000160	HubMAP	Labeled_Mass_Spectometry	Isotope-Coded Protein Label 		
 HuBMAP C000161	HubMAP	Label_Free_Mass_Spectrometry	Label-Free Mass Spectrometry		
 HuBMAP C000162	HubMAP	lc-ms_label-free	Label-free LC-MS		
 HuBMAP C000163	HubMAP	lc-ms_labeled	Labeled LC-MS		
 HuBMAP C000164	HubMAP	lc-ms-ms_label-free	Label-free LC-MS/MS		
 HuBMAP C000165	HubMAP	lc-ms-ms_labeled	Labeled LC-MS/MS		
 HuBMAP C000166	HubMAP	LC-MS-untargeted	Untargeted LC-MS		
 HuBMAP C000167	HubMAP	Targeted-Shotgun-LC-MS	Targeted Shotgun / Flow-injection LC-MS		
 HuBMAP C000168	HubMAP	TMT-LC-MS	TMT LC-MS		
 HuBMAP C000169	HubMAP	LC-MS_bottom_up	LC-MS Bottom Up		
 HuBMAP C000170	HubMAP	MS_bottom_up	MS Bottom Up		
 HuBMAP C000171	HubMAP	LC-MS_top_down	LC-MS Top Down		
 HuBMAP C000172	HubMAP	MS_top_down 	MS Top Down		
 HuBMAP C000173	HubMAP	https://en.wikipedia.org/wiki/Capillary_electrophoresis%E2%80%93mass_spectrometry	Description of CE-MS		
 HuBMAP C000174	HubMAP	CZE-MS	Capillary electrophoresis–mass spectrometry		
 HuBMAP C000175	HubMAP	https://www.annualreviews.org/doi/10.1146/annurev-anchem-061516-045249	Description of GCIB-IMS		
 HuBMAP C000176	HubMAP	GCIB-SIMS PhIMS	Gas Cluster Ion Beam Secondary Ion Mass Spectrometry		
 HuBMAP C000177	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/gcms-v0.yaml	Directory schema for GCMS		
 HuBMAP C000178	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/gcms-v1.yaml	Table schema for GCMS		
 HuBMAP C000179	HubMAP	https://en.wikipedia.org/wiki/Gas_chromatography%E2%80%93mass_spectrometry	Description for GCMS		
 HuBMAP C000180	HubMAP	GCMS	Gas Chromatography Mass Spectrometry		
 HuBMAP C000181	HubMAP	https://nanostring.com/products/geomx-digital-spatial-profiler/geomx-dsp-overview/	Description of GeoMX		
 HuBMAP C000182	HubMAP	GeoMX	GeoMx Digital Spatial Profiler		
 HuBMAP C000183	HubMAP	GeoMX-Protein	nan		
 HuBMAP C000184	HubMAP	GeoMX-RNA	nan		
 HuBMAP C000185	HubMAP	https://www.cell.com/cell/pdf/S0092-8674(20)31390-8.pdf	Description of DBiT-seq		
 HuBMAP C000186	HubMAP	hsrTP-seq(DBiT-seq)	High-Spatial Resolution/Deterministic Barcoding in Tissue		
 HuBMAP C000187	HubMAP	http://immuno-saber.net/	Description of ImmunoSABER		
 HuBMAP C000188	HubMAP	ImmunoSABER	Immunostaining with signal amplification by exchange reaction		
 HuBMAP C000189	HubMAP	RNA-seq	Whole Transcriptome Sequencing		
 HuBMAP C000190	HubMAP	https://software.docs.hubmapconsortium.org/assays/rnaseq	Description for bulkRNA seq, 10x  scRNAseq, SNARE-seq, sci-RNAseq		
 HuBMAP C000191	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/bulkrnaseq-v0.yaml	Directory schema for bulk RNAseq		
 HuBMAP C000192	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/bulkrnaseq-v1.yaml	Table schema for bulk RNAseq		
 HuBMAP C000193	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/scrnaseq-v0.yaml	Directory schema for scRNAseq		
 HuBMAP C000194	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/scrnaseq-v3.yaml	Table schema for scRNAseq		
 HuBMAP C000195	HubMAP	bulk-RNA	Bulk RNA-seq		
 HuBMAP C000196	HubMAP	salmon_rnaseq_bulk	Bulk RNA-seq [Salmon]		
 HuBMAP C000197	HubMAP	SNARE-seq	nan		
 HuBMAP C000198	HubMAP	SNARE-seq2	nan		
 HuBMAP C000199	HubMAP	scRNA-seq	single-cell RNA sequencing assay		
 HuBMAP C000200	HubMAP	snRNA-seq	single nucleus RNA sequencing		
 HuBMAP C000201	HubMAP	snATAC-seq	single-nucleus ATAC-seq		
 HuBMAP C000202	HubMAP	scATAC-seq	single-cell ATAC-seq		
 HuBMAP C000203	HubMAP	SNARE-ATACseq2	snATACseq (SNARE-seq2)		
 HuBMAP C000204	HubMAP	SNARE-RNAseq2	snRNAseq (SNARE-seq2)		
 HuBMAP C000205	HubMAP	sc_atac_seq_snare_lab	snATAC-seq (SNARE-seq2) [Lab Processed]		
 HuBMAP C000206	HubMAP	sc_rna_seq_snare_lab	scrna-seq (SNARE-seq2) [Lab Processed]		
 HuBMAP C000207	HubMAP	salmon_rnaseq_snareseq	snRNA-seq (SNARE-seq2) [Salmon]		
 HuBMAP C000208	HubMAP	sc_atac_seq_snare	snATAC-seq (SNARE-seq2) [SnapATAC]		
 HuBMAP C000209	HubMAP	10x_genomics	nan		
 HuBMAP C000210	HubMAP	10x_genomics_v2	nan		
 HuBMAP C000211	HubMAP	10x_genomics_v3	nan		
 HuBMAP C000212	HubMAP	scRNAseq-10xGenomics-v2	scRNA-seq (10x Genomics v2)		
 HuBMAP C000213	HubMAP	scRNAseq-10xGenomics-v3	scRNA-seq (10x Genomics v3)		
 HuBMAP C000214	HubMAP	salmon_rnaseq_10x	scRNA-seq (10x Genomics) [Salmon]		
 HuBMAP C000215	HubMAP	SCI-seq	
Single-cell combinatorial indexed sequencing		
 HuBMAP C000216	HubMAP	sciATACseq	sciATAC-seq		
 HuBMAP C000217	HubMAP	sc_atac_seq_sci 	sciATAC-seq [SnapATAC]		
 HuBMAP C000218	HubMAP	sciRNAseq	sciRNA-seq		
 HuBMAP C000219	HubMAP	salmon_rnaseq_sciseq	sciRNA-seq [Salmon]		
 HuBMAP C000220	HubMAP	snATACseq	snATAC-seq		
 HuBMAP C000221	HubMAP	sn_atac_seq	snATAC-seq [SnapATAC]		
 HuBMAP C000222	HubMAP	snRNAseq-10xGenomics-v2	snRNA-seq (10x Genomics v2)		
 HuBMAP C000223	HubMAP	snRNAseq-10xGenomics-v3	snRNA-seq (10x Genomics v3)		
 HuBMAP C000224	HubMAP	salmon_sn_rnaseq_10x	snRNA-seq [Salmon]		
 HuBMAP C000225	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/slideseq-v0.yaml	Directory schema for Slide-seq		
 HuBMAP C000226	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/slideseq-v1.yaml	Table schema for Slide-seq		
 HuBMAP C000227	HubMAP	Slide-seq	Slide-seq		
 HuBMAP C000228	HubMAP	salmon_rnaseq_slideseq 	Slide-seq [Salmon]		
 HuBMAP C000229	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/directory-schemas/wgs-v0.yaml	Directory schema for WGS		
 HuBMAP C000230	HubMAP	https://github.com/hubmapconsortium/ingest-validation-tools/blob/main/src/ingest_validation_tools/table-schemas/assays/wgs-v1.yaml	Table schema for WGS		
 HuBMAP C000231	HubMAP	https://software.docs.hubmapconsortium.org/assays/wgs	Description for WGS		
 HuBMAP C000232	HubMAP	WGS	Whole Genome Sequencing		
 HuBMAP C000233	HubMAP	https://pubmed.ncbi.nlm.nih.gov/28132817/	Description for MARGI		
 HuBMAP C000234	HubMAP	MARGI	mapping RNA-genome interactions assay		
 HuBMAP C000235	HubMAP	sciMARGI	Single cell in situ mapping of RNA-Genome Interactome 		
 HuBMAP C000236	HubMAP	Spatial-MARGI	nan		
 HuBMAP C000237	HubMAP	https://www.10xgenomics.com/products/spatial-gene-expression	Description of Visium		
 HuBMAP C000238	HubMAP	Visium	Visium Spatial Gene Expression		
 HuBMAP C000239	HubMAP	codex_sample	nan		
 HuBMAP C000240	HubMAP	atacseq 	ATACseq		
 HuBMAP C000241	HubMAP	biopsy 	Biopsy 		
 HuBMAP C000242	HubMAP	blood 	nan		
 HuBMAP C000243	HubMAP	cell_lysate	nan		
 HuBMAP C000244	HubMAP	clarity_hydrogel 	nan		
 HuBMAP C000245	HubMAP	medium	nan		
 HuBMAP C000246	HubMAP	OCT	Optimal Cutting Temperature Compound		
 HuBMAP C000247	HubMAP	cryosections_curls_from_fresh_frozen_oct	Cryosections/curls from fresh frozen OCT		
 HuBMAP C000248	HubMAP	RNAlater	Trade name for an aqueous, non-toxic tissue storage reagent that rapidly permeates tissues to stabilize and protect cellular RNA.		
 HuBMAP C000249	HubMAP	cryosections_curls_rnalater	Cryosections/curls RNAlater		
 HuBMAP C000250	HubMAP	fixative	nan		
 HuBMAP C000251	HubMAP	formalin	nan		
 HuBMAP C000252	HubMAP	PFA	nan		
 HuBMAP C000253	HubMAP	FFPE	formalin-fixed polyethlylene		
 HuBMAP C000254	HubMAP	form	nan		
 HuBMAP C000255	HubMAP	block	nan		
 HuBMAP C000256	HubMAP	slide	nan		
 HuBMAP C000257	HubMAP	piece	nan		
 HuBMAP C000258	HubMAP	section	nan		
 HuBMAP C000259	HubMAP	freezing_method	nan		
 HuBMAP C000260	HubMAP	fresh_frozen	nan		
 HuBMAP C000261	HubMAP	flash_frozen	nan		
 HuBMAP C000262	HubMAP	unfrozen	nan		
 HuBMAP C000263	HubMAP	frozen	nan		
 HuBMAP C000264	HubMAP	ffpe_block 	FFPE block		
 HuBMAP C000265	HubMAP	ffpe_slide 	FFPE slide		
 HuBMAP C000266	HubMAP	fixed_frozen_section_slide 	Fixed frozen section slide		
 HuBMAP C000267	HubMAP	fixed_tissue_piece 	Fixed tissue piece		
 HuBMAP C000268	HubMAP	flash_frozen_liquid_nitrogen	Flash frozen, liquid nitrogen		
 HuBMAP C000269	HubMAP	formalin_fixed_oct_block 	Formalin fixed OCT block		
 HuBMAP C000270	HubMAP	fresh_frozen_oct_block 	Fresh frozen OCT block		
 HuBMAP C000271	HubMAP	fresh_frozen_section_slide 	Fresh frozen section slide		
 HuBMAP C000272	HubMAP	fresh_frozen_tissue 	Fresh frozen tissue		
 HuBMAP C000273	HubMAP	fresh_frozen_tissue_section 	Fresh frozen tissue section		
 HuBMAP C000274	HubMAP	fresh_tissue 	Fresh tissue		
 HuBMAP C000275	HubMAP	cell_pellet	cell pellet		
 HuBMAP C000276	HubMAP	frozen_cell_pellet_buffy_coat	Frozen cell pellet (Buffy coat)		
 HuBMAP C000277	HubMAP	gDNA	gDNA 		
 HuBMAP C000278	HubMAP	module 	Module 		
